owner,repo,loc,comment_lines,stars,forks,watchers,releases,age_years
huyi77/-,201206030_novel,10878,3658,0,0,0,0,3
994248897/practice_04,527515025_springBoot,12670,2335,0,0,0,0,6
richardjoin/git-github.com-201206030-novel-plus,201206030_novel-plus,30561,5451,0,0,0,0,5
cngeeker/inspeckageAdd,ac-pm_Inspeckage,6779,357,2,1,2,0,6
shiosefine/YalpStoreWithSAI,Aefyr_SAI,18906,832,7,2,7,1,7
onlyeat3/weekend,abel533_Mapper,33494,11614,13,10,13,0,9
airbnb/lottie-web,airbnb_lottie-android,23953,4073,31795,2928,31795,0,11
YangCheung/flutter-ARoute,alibaba_ARouter,5352,1468,2,0,2,0,7
navi25/Nachos,airbnb_epoxy,79369,13206,13,4,13,0,8
AdaptiveConsulting/aeron-io-samples,aeron-io_aeron,240326,53538,48,23,48,5,3
dotnetcore/CanalSharp,alibaba_canal,109646,19874,595,97,595,5,8
alibaba/arthas,alibaba_arthas,86122,15642,37228,7638,37228,30,8
tobenum/github.com-alibaba-dexposed,alibaba_dexposed,3141,936,0,0,0,0,11
tupunco/Tup.Cobar4Net,alibaba_cobar,91537,22033,12,9,12,0,11
maguangzu/Parking-Management-System,981011512_--,278433,40808,85,20,85,0,5
shiyindaxiaojie/eden-demo-cola,alibaba_COLA,17011,3072,413,79,413,0,4
smarthane/smartframework-android-atlas,alibaba_atlas,283423,141768,9,0,9,0,9
pengbo518/easy-excel,alibaba_easyexcel,37738,10132,3,7,3,0,7
Jawf/DataX-Migration,alibaba_DataX,87094,10009,102,43,102,0,10
swesmith/alibaba__jvm-sandbox.c01c28ab,alibaba_jvm-sandbox,22828,6052,0,0,0,0,0
Activiti/Activiti,Activiti_Activiti,295711,71615,10524,6943,10524,30,14
alibaba/spring-cloud-alibaba,alibaba_spring-cloud-alibaba,2286,1030,29091,8514,29091,30,9
hammertank/jstorm-node-connection-check,alibaba_jstorm,258549,50404,0,0,0,0,10
xiexianchao/Transmittable-thread-local-sercret,alibaba_transmittable-thread-local,12465,5280,0,0,0,0,8
CyrusZhou-CN/Alibaba_Otter_Manager_DockerCompose,alibaba_otter,88933,27166,3,2,3,3,5
yibeiliu/VlayoutDemo,alibaba_vlayout,16394,3829,2,1,2,0,9
tangzhoutz/SoloPiwiki,alipay_SoloPi,62296,13952,0,0,0,0,7
Syah86/https-github.com-amitshekhariitbhu-Android-Debug-Database,amitshekhariitbhu_Android-Debug-Database,3561,790,1,1,1,0,2
TheXPerienceProject/android_packages_apps_Launcer3,amirzaidi_Launcher3,75449,14136,1,0,1,0,8
AlibabaTech/fastjson,alibaba_fastjson,200902,14832,122,86,122,0,13
immohanravi/Fast-Android-Networking,amitshekhariitbhu_Fast-Android-Networking,19755,3272,0,0,0,1,6
alibaba/Alink,alibaba_Alink,521643,77182,3618,791,3618,22,8
android-async-http/android-async-http,android-async-http_android-async-http,10856,2697,10610,4048,10610,3,15
android/views-widgets-samples,android_views-widgets-samples,11554,3720,5178,2983,5178,0,7
xtyuns/sample-e202312131-fastjson2,alibaba_fastjson2,477743,36880,0,0,0,0,3
androidannotations/androidannotations,androidannotations_androidannotations,59840,22204,11001,2321,11001,0,14
wahyuogel/AndroidMVP,antoniolg_androidmvp,476,120,5,1,5,0,12
AntennaPod/AntennaPod,AntennaPod_AntennaPod,68123,4671,7794,1664,7794,30,14
ant-media/Ant-Media-Server,ant-media_Ant-Media-Server,160498,44526,4657,682,4657,30,9
antlr/antlr4,antlr_antlr4,66384,16217,18813,3431,18813,30,16
shuzheng/spring-cloud-alibaba-demo,alibaba_nacos,419864,122260,95,52,95,0,7
GlacierBlitz/mlda-dlw-bos-angels,Angel-ML_angel,262602,50267,2,0,2,0,0
SimonWoodburyForget/mindustry-modding,Anuken_Mindustry,143765,20347,34,17,34,0,7
yuyan-sec/druid_sessions,alibaba_druid,500947,75886,320,26,320,4,5
Alluxio/alluxio,Alluxio_alluxio,444173,120745,7183,2944,7183,30,14
apache/avro,apache_avro,131437,35679,3257,1742,3257,22,17
apache/dolphinscheduler-website,apache_dolphinscheduler,92639,27362,144,219,144,0,7
delei/fesod-issue,apache_fesod,53913,23201,0,0,0,0,1
apache/calcite,apache_calcite,634823,165467,5106,2475,5106,0,12
apache/fory-site,apache_fory,134931,24379,26,32,26,0,3
apache/dubbo-samples,apache_dubbo,415267,105349,2377,1982,2377,0,8
apache/cassandra,apache_cassandra,1189676,223435,9686,3860,9686,0,17
apache/beam,apache_beam,1189495,259054,8543,4528,8543,30,10
apache/gravitino-site,apache_gravitino,529296,126813,4,20,4,0,2
Hackerhan/Apache-HertzBeat,apache_hertzbeat,150298,40147,0,0,0,0,1
apache/druid,apache_druid,1601335,271938,13973,3770,13973,30,14
apache/hbase,apache_hbase,1149571,253980,5562,3398,5562,30,12
leesf/hudi-resources,apache_hudi,618516,146656,558,158,558,0,7
kiegroup/drools-archive,apache_incubator-kie-drools,439954,89565,37,24,37,0,3
kiegroup/optaplanner,apache_incubator-kie-optaplanner,278965,77012,481,105,481,0,3
apache/iceberg,apache_iceberg,1087751,169845,8703,3137,8703,30,8
log4js2/log4js2-core,apache_logging-log4j2,28100,9941,10,6,10,21,10
linghengqian-scratches/seata-table-meta-check-enable-test,apache_incubator-seata,407628,110079,0,0,0,0,2
apache/flink,apache_flink,1963876,457036,25931,13912,25931,0,12
apache/nifi,apache_nifi,226423,47695,6042,2934,6042,0,12
chywx/rocketmq-console-alarm,apache_rocketmq-externals,19490,5238,9,1,9,2,7
apache/paimon-rust,apache_paimon,588545,109592,155,53,155,0,2
sg-evals/android-frameworks-base--d41da232,aosp-mirror_platform_frameworks_base,5901417,1481605,0,0,0,0,0
apache/kafka,apache_kafka,1252131,241284,32323,15093,32323,0,15
Zeyad-Azima/CVE-2022-22733,apache_shardingsphere-elasticjob,34811,12873,2,1,2,1,3
apache/streampark-quickstart,apache_streampark,47362,12813,74,71,74,1,5
apache/iotdb,apache_iotdb,1391917,219101,6304,1129,6304,30,8
apache/shenyu-dashboard,apache_shenyu,191095,84807,197,238,197,10,8
hortonworks-gallery/zeppelin-notebooks,apache_zeppelin,178091,28740,216,151,216,0,11
apache/storm,apache_storm,352405,64250,6679,4044,6679,9,13
apache/zookeeper,apache_zookeeper,170519,43462,12747,7320,12747,0,17
apolloconfig/agollo,apolloconfig_apollo,66649,14899,775,200,775,30,9
apache/pinot,apache_pinot,957281,203964,6055,1459,6055,21,12
Parikos/AndroidCourse,aporter_coursera-android,22902,2655,3,3,3,0,12
esp8266/Arduino,arduino_Arduino,37427,9871,16594,13190,16594,30,11
justine6/https-github.com-ashishps1-awesome-system-design-resources,ashishps1_awesome-system-design-resources,383,19,26,5,26,0,2
apache/tomcat,apache_tomcat,539178,169927,8135,5359,8135,0,15
Sidneys1/signal-bot,AsamK_signal-cli,44704,808,8,2,8,3,3
Loonytone/BottomNavigation,Ashok-Varma_BottomNavigation,3317,1033,4,1,4,0,9
jw-y/pkl-python,apple_pkl,89224,17641,70,3,70,7,2
Suleiman19/Bottom-Navigation-Demo,aurelhubert_ahbottomnavigation,3024,660,55,41,55,0,10
lucabelluccini/commafeed-docker,Athou_commafeed,13766,594,0,4,0,0,9
KotlinMania/JWT-Kotlin,auth0_java-jwt,11976,1676,4,0,4,2,1
bzsome/VirtualApp-x326,asLody_VirtualApp,48241,4975,133,55,133,0,8
PacktPublishing/A-Definitive-Guide-to-Apache-ShardingSphere,apache_shardingsphere,552333,175770,10,9,10,0,5
nishantverma160380/awsdocs-aws-doc-sdk-examples,awsdocs_aws-doc-sdk-examples,146911,27111,0,0,0,0,5
wmansfield/Xamarin.CarouselLayoutManager,Azoft_CarouselLayoutManager,1134,249,0,0,0,0,8
foxiswho/java-spring-boot-uid-generator-baidu,baidu_uid-generator,2050,1026,21,23,21,0,7
macktong/baomidou-dynamic-datasource-spring-boot-starter,baomidou_dynamic-datasource,11082,4209,1,0,1,0,4
azkaban/azkaban,azkaban_azkaban,146277,31746,4514,1569,4514,30,14
AxonFramework/AxonFramework,AxonFramework_AxonFramework,317283,121686,3572,839,3572,30,15
jclick/SwipeMenuListView,baoyongzhang_SwipeMenuListView,1510,241,12,8,12,0,11
raedev/photoview-ktx,Baseflow_PhotoView,1971,261,0,0,0,0,2
mariotaku/DragSortListView,bauerca_drag-sort-listview,5076,1435,4,4,4,0,12
sakaguchiyuka/SampleAndroidBootstrap,Bearded-Hen_Android-Bootstrap,13141,983,1,0,1,0,12
gavin2lee/mybatis-plus,baomidou_mybatis-plus,81407,28730,8,6,8,0,10
tetrafolium/Aegis,beemdevelopment_Aegis,25729,891,2,0,2,0,7
aliaghasaadati/bepass.org-oblivion,bepass-org_oblivion,2941,215,5,0,5,0,2
Airsaid/Android-PickerView-Library,Bigkoo_Android-PickerView,5265,1020,111,26,111,0,10
amikey/DanmakuFlameMaster,bilibili_DanmakuFlameMaster,11720,1416,2,1,2,0,10
apache/camel-examples,apache_camel,3135246,1059921,472,378,472,0,6
wfs31415926/SimpleGuideView,binIoter_GuideView,1540,357,0,0,0,0,5
blemale/scaffeine,ben-manes_caffeine,120410,21962,268,25,268,0,10
rysinal/BGARefreshLayout,bingoogolapple_BGARefreshLayout-Android,6301,1060,1,0,1,0,10
apereo/java-cas-client,apereo_cas,507782,98798,945,606,945,20,14
licheedev/AdaptScreen,Blankj_AndroidUtilCode,57316,18323,17,5,17,1,7
liguigui/Blankj-awesome-java-leetcode,Blankj_awesome-java-leetcode,2852,967,1,0,1,0,8
bitcoinj/bitcoinj,bitcoinj_bitcoinj,80878,26079,5216,2562,5216,14,13
utkan/ConductorDemo,bluelinelabs_Conductor,6434,942,1,0,1,0,9
sdzzcl/springcloud,bjmashibing_InternetArchitect,80288,13419,1,0,1,0,6
FleetingWang/DroidBinding_AndroidTreeView,bmelnychuk_AndroidTreeView,2565,381,5,0,5,0,10
EditorialBlossom/Blossom-Editorial,blossom-editor_blossom,28729,10629,0,0,0,0,2
basicthinker/YCSB-C,brianfrankcooper_YCSB,35555,10135,170,88,170,0,12
imalimin/LyMedia,bytedeco_javacv,29164,6114,22,11,22,0,10
BlueMap-Minecraft/BlueMapVue,BlueMap-Minecraft_BlueMap,39241,11524,21,31,21,0,5
imalimin/LyMedia,bytedeco_javacpp,33929,8191,22,11,22,0,10
nothub/headlessbot,cabaletta_baritone,38024,12029,31,4,31,0,5
AutoMQ/automq,AutoMQ_automq,1102607,225662,9676,683,9676,30,3
leavestar/Interviews,careercup_ctci,13378,861,0,2,0,0,13
Cheesebaron/SmoothProgressBarSharp,castorflex_SmoothProgressBar,2244,125,12,3,12,0,12
way2ashutosh/https---github.com-careercup-CtCI-6th-Edition,careercup_CtCI-6th-Edition,24193,1459,0,0,0,0,10
swesmith/changmingxie__tcc-transaction.874cb910,changmingxie_tcc-transaction,16050,1425,0,1,0,0,0
